,Year,Max_close,Min_close,Avg_close,Med_close,Yr_open,Yr_end,P_yr,Min_date,Max_date
0,1950,20.43000030517578,16.65999984741211,18.397269145551935,18.34000015258789,16.65999984741211,20.43000030517578,,1950-01-03,1950-12-29
1,1951,23.850000381469727,20.690000534057617,22.321887594629004,22.15999984741211,20.770000457763672,23.770000457763672,16.34850760007932,1951-01-03,1951-10-15
2,1952,26.59000015258789,23.09000015258789,24.496160057067872,24.454999923706055,23.799999237060547,26.56999969482422,11.77955062321432,1952-02-20,1952-12-30
3,1953,26.65999984741211,22.709999084472656,24.722589675173815,24.65999984741211,26.540000915527344,24.809999465942383,-6.624012981169436,1953-09-14,1953-01-05
4,1954,35.97999954223633,24.799999237060547,29.724087359413268,29.510000228881836,24.950000762939453,35.97999954223633,45.02216975710711,1954-01-11,1954-12-31
5,1955,46.40999984741211,34.58000183105469,40.49884920271616,41.010000228881836,36.75,45.47999954223633,26.40355786788743,1955-01-17,1955-11-14
6,1956,49.63999938964844,43.11000061035156,46.639521959768345,46.52000045776367,45.15999984741211,46.66999816894531,2.61653174733183,1956-01-23,1956-08-03
7,1957,49.130001068115234,38.97999954223633,44.42337299528576,44.595001220703125,46.20000076293945,39.9900016784668,-14.313256380034428,1957-10-22,1957-07-15
8,1958,55.209999084472656,40.33000183105469,46.203452367631215,45.21000099182129,40.33000183105469,55.209999084472656,38.059506794672856,1958-01-02,1958-12-31
9,1959,60.709999084472656,53.58000183105469,57.41818169454341,57.31999969482422,55.439998626708984,59.88999938964844,8.476725924257426,1959-02-09,1959-08-03
10,1960,60.38999938964844,52.20000076293945,55.84575398763021,55.78499984741211,59.90999984741211,58.11000061035156,-2.9721135372135854,1960-10-25,1960-01-05
11,1961,72.63999938964844,57.56999969482422,66.26632005310059,66.45500183105469,57.56999969482422,71.55000305175781,23.12855326147094,1961-01-03,1961-12-12
12,1962,71.12999725341797,52.31999969482422,62.320753975520056,60.96000099182129,70.95999908447266,63.099998474121094,-11.809929024774684,1962-06-26,1962-01-03
13,1963,75.0199966430664,62.689998626708984,69.8593624920484,70.02999877929688,62.689998626708984,75.0199966430664,18.890647317264207,1963-01-02,1963-12-31
14,1964,86.27999877929688,75.43000030517578,81.37288548164217,81.45999908447266,75.43000030517578,84.75,12.969879755163749,1964-01-02,1964-11-20
15,1965,92.62999725341797,81.5999984741211,88.1572617424859,87.41500091552734,84.2300033569336,92.43000030517578,9.061947262744283,1965-06-28,1965-11-15
16,1966,94.05999755859375,73.19999694824219,85.18162687997969,85.56499862670898,92.18000030517578,80.33000183105469,-13.090986080461512,1966-10-07,1966-02-09
17,1967,97.58999633789062,80.37999725341797,91.95589638516248,92.5999984741211,80.37999725341797,96.47000122070312,20.09211878719128,1967-01-03,1967-09-25
18,1968,108.37000274658203,87.72000122070312,98.37716803086542,98.625,96.11000061035156,103.86000061035156,7.660411833873278,1968-03-05,1968-11-29
